Item_Name,Price,Days_in_Warehouse,Profit_Per_Item
Widget_001,49.96,24,39.28
Widget_002,67.89,92,14.0
Widget_003,56.74,33,36.04
Widget_004,24.51,97,43.3
Widget_005,36.99,73,49.69
Widget_006,69.4,67,30.99
Widget_007,54.56,58,30.99
Widget_008,51.99,69,24.65
Widget_009,56.49,56,34.74
Widget_010,50.6,73,28.67
Widget_011,88.8,16,16.82
Widget_012,25.2,13,47.69
Widget_013,65.06,18,10.64
Widget_014,38.47,69,14.88
Widget_015,59.61,56,16.93
Widget_016,51.28,59,36.5
Widget_017,44.94,15,18.32
Widget_018,65.42,72,43.69
Widget_019,55.98,83,45.79
Widget_020,67.83,57,23.06
Widget_021,65.64,71,23.01
Widget_022,51.09,91,31.59
Widget_023,66.94,98,21.24
Widget_024,63.42,50,21.85
Widget_025,33.22,98,49.48
Widget_026,81.78,17,10.22
Widget_027,85.24,90,38.45
Widget_028,83.21,14,47.05
Widget_029,72.09,37,44.52
Widget_030,69.86,43,13.82
Widget_031,49.67,71,23.01
Widget_032,78.37,95,45.49
Widget_033,57.78,56,38.53
Widget_034,80.86,99,19.44
Widget_035,40.49,36,30.91
Widget_036,54.2,51,27.57
Widget_037,36.14,61,32.53
Widget_038,75.64,32,34.18
Widget_039,63.19,38,19.15
Widget_040,26.16,68,37.79
Widget_041,90.44,51,42.32
Widget_042,70.67,15,28.26
Widget_043,37.48,93,45.7
Widget_044,63.15,98,22.72
Widget_045,28.8,36,27.08
Widget_046,85.44,12,10.28
Widget_047,60.86,18,29.39
Widget_048,75.39,53,19.77
Widget_049,33.46,41,30.75
Widget_050,76.24,71,48.87
Widget_051,97.0,48,29.89
Widget_052,44.07,65,11.48
Widget_053,68.77,11,26.44
Widget_054,22.64,10,19.58
Widget_055,31.59,53,27.91
Widget_056,64.23,77,13.23
Widget_057,49.57,26,39.13
Widget_058,49.42,79,25.95
Widget_059,85.31,25,43.41
Widget_060,45.66,79,37.83
Widget_061,88.67,68,18.81
Widget_062,76.89,28,23.95
Widget_063,27.69,42,25.9
Widget_064,61.42,10,37.03
Widget_065,78.82,59,46.99
Widget_066,90.19,16,36.4
Widget_067,85.38,69,20.43
Widget_068,99.7,21,32.33
Widget_069,90.61,18,21.15
Widget_070,76.03,89,45.88
Widget_071,90.97,42,35.68
Widget_072,26.73,81,41.41
Widget_073,73.52,98,36.54
Widget_074,20.4,91,29.42
Widget_075,55.87,70,18.97
Widget_076,76.97,42,29.76
Widget_077,34.31,17,43.97
Widget_078,72.61,42,31.7
Widget_079,60.71,95,20.61
Widget_080,39.52,47,49.16
Widget_081,50.0,200,4.0
Widget_082,50.0,200,4.0
Widget_083,50.0,200,4.0
Widget_084,50.0,200,4.0
Widget_085,50.0,200,4.0
Widget_086,50.0,200,4.0
Widget_087,50.0,200,4.0
Widget_088,50.0,200,4.0
Widget_089,50.0,200,4.0
Widget_090,50.0,200,4.0
Widget_091,30.0,50,2.0
Widget_092,30.0,50,2.0
Widget_093,30.0,50,2.0
Widget_094,30.0,50,2.0
Widget_095,30.0,50,2.0
Widget_096,75.0,250,25.0
Widget_097,75.0,250,25.0
Widget_098,75.0,250,25.0
Widget_099,75.0,250,25.0
Widget_100,75.0,250,25.0
